tfbs	frequency	gene
ZNF274	1	pvalb
Znf281	8	pvalb
ZNF282	1	pvalb
ZNF317	9	pvalb
ZNF341	3	pvalb
ZNF382	4	pvalb
ZNF384	43	pvalb
ZNF410	2	pvalb
ZNF449	3	pvalb
ZNF460	15	pvalb
ZNF528	3	pvalb
ZNF652	1	pvalb
ZNF682	1	pvalb
ZNF684	3	pvalb
ZNF740	39	pvalb
ZNF75D	4	pvalb
ZSCAN29	2	pvalb
ZSCAN4	14	pvalb
