tfbs	frequency	gene
THRB(var.3)	3	pvalb
TP53	5	pvalb
TP63	2	pvalb
TP73	4	pvalb
TWIST1	1	pvalb
USF1	1	pvalb
VEZF1	7	pvalb
Wt1	8	pvalb
YY1	3	pvalb
ZBTB12	4	pvalb
ZBTB18	4	pvalb
ZBTB26	2	pvalb
ZBTB32	1	pvalb
ZBTB6	3	pvalb
ZBTB7A	4	pvalb
ZBTB7B	2	pvalb
ZBTB7C	1	pvalb
ZEB1	1	pvalb
ZFP42	2	pvalb
ZIC1	3	pvalb
Zic1::Zic2	6	pvalb
Zic2	8	pvalb
ZIC3	3	pvalb
ZIC4	3	pvalb
ZIC5	4	pvalb
ZKSCAN5	6	pvalb
ZNF135	3	pvalb
ZNF136	1	pvalb
ZNF140	1	pvalb
ZNF143	2	pvalb
ZNF148	9	pvalb
ZNF16	5	pvalb
ZNF24	3	pvalb
ZNF263	3	pvalb
ZNF274	1	pvalb
Znf281	4	pvalb
ZNF282	1	pvalb
ZNF317	7	pvalb
ZNF341	2	pvalb
ZNF382	1	pvalb
ZNF384	35	pvalb
ZNF449	1	pvalb
ZNF460	4	pvalb
ZNF528	1	pvalb
ZNF652	1	pvalb
ZNF682	1	pvalb
ZNF684	3	pvalb
ZNF740	29	pvalb
ZNF75D	3	pvalb
ZSCAN29	1	pvalb
ZSCAN4	9	pvalb
