tfbs	frequency	gene
SIX1	3	vip
SIX2	2	vip
Smad2::Smad3	1	vip
SMAD2::SMAD3::SMAD4	4	vip
SNAI1	4	vip
SNAI2	1	vip
SNAI3	4	vip
SOHLH2	2	vip
Sox1	4	vip
SOX10	3	vip
Sox11	6	vip
SOX12	2	vip
SOX13	2	vip
SOX14	4	vip
SOX15	6	vip
SOX2	3	vip
SOX21	3	vip
Sox3	12	vip
SOX4	3	vip
Sox6	4	vip
SOX8	6	vip
SP1	1	vip
SP2	12	vip
SP3	5	vip
SP4	3	vip
SP8	9	vip
SP9	6	vip
SPDEF	2	vip
SPI1	11	vip
SPIB	10	vip
SPIC	5	vip
Spz1	3	vip
SREBF1	2	vip
SREBF1(var.2)	3	vip
SREBF2(var.2)	3	vip
STAT1	7	vip
STAT1::STAT2	9	vip
Stat2	13	vip
STAT3	7	vip
Stat4	3	vip
Stat5a	6	vip
Stat5a::Stat5b	4	vip
Stat5b	3	vip
Stat6	4	vip
TAL1::TCF3	1	vip
TBR1	3	vip
TBX18	2	vip
TBX19	3	vip
TBX2	2	vip
TBX20	2	vip
TBX21	1	vip
TBX3	2	vip
TBX6	3	vip
TBXT	1	vip
Tcf12	4	vip
TCF12(var.2)	3	vip
Tcf21	2	vip
TCF21(var.2)	3	vip
TCF3	5	vip
TCF4	4	vip
TCF7	3	vip
TCF7L1	6	vip
TCF7L2	5	vip
TEAD1	5	vip
TEAD2	1	vip
TEAD4	4	vip
TFAP2A	3	vip
TFAP2A(var.2)	6	vip
TFAP2A(var.3)	4	vip
TFAP2B	7	vip
TFAP2B(var.2)	3	vip
TFAP2B(var.3)	3	vip
TFAP2C	7	vip
TFAP2C(var.2)	4	vip
TFAP2C(var.3)	4	vip
TFAP2E	3	vip
TFAP4	3	vip
TFAP4(var.2)	2	vip
TFCP2	2	vip
TFDP1	1	vip
TFEB	4	vip
TFEC	4	vip
TGIF1	6	vip
TGIF2	5	vip
TGIF2LX	3	vip
TGIF2LY	4	vip
THAP11	2	vip
THRB	3	vip
THRB(var.2)	2	vip
THRB(var.3)	3	vip
TP53	4	vip
TP63	2	vip
TP73	3	vip
TWIST1	6	vip
Twist2	4	vip
USF1	2	vip
USF2	2	vip
VEZF1	24	vip
Wt1	18	vip
YY1	5	vip
YY2	1	vip
ZBTB12	2	vip
ZBTB14	1	vip
ZBTB18	3	vip
ZBTB26	4	vip
ZBTB6	3	vip
ZBTB7A	3	vip
ZBTB7B	4	vip
ZBTB7C	3	vip
ZEB1	5	vip
ZFP42	5	vip
Zfx	3	vip
Zic1::Zic2	3	vip
Zic2	3	vip
ZIC3	2	vip
ZIC4	2	vip
ZIC5	1	vip
ZKSCAN1	1	vip
ZKSCAN5	4	vip
ZNF135	4	vip
ZNF136	4	vip
ZNF140	2	vip
ZNF143	6	vip
ZNF148	19	vip
ZNF16	6	vip
ZNF24	2	vip
ZNF263	9	vip
ZNF274	4	vip
Znf281	7	vip
ZNF282	3	vip
ZNF317	4	vip
ZNF341	4	vip
ZNF382	1	vip
ZNF384	45	vip
ZNF410	2	vip
ZNF449	5	vip
ZNF460	8	vip
ZNF528	3	vip
ZNF652	2	vip
ZNF682	5	vip
ZNF684	4	vip
ZNF740	33	vip
ZNF75D	5	vip
ZSCAN29	1	vip
ZSCAN4	7	vip
